Dialogue,Y
and Sport Chalet......but my designs are gonna,0
revolutionize the roller industry.I know that,0
but you have no equity.- None.,0
- And your credit...Bad,0
sound desperate.- Yeah.,0
- I have no other options left.Carl. Hey. Long time no see.Nick Lane? Hey.- You don't still work at the bank,0
- Yeah.Kind of why I'm sitting outside here,0
eating my lunch,0
Didn't wanna get tied down.- How's Stephanie?,0
- Good.God.She's good. What have you been doing?I've been all over the map,0
I've lived.I climbed Mount Kilimanjaro.,0
I ate bat in Laos.I shot a cow with a bazooka.I'm not proud of that last one,0
but I did it,0
"- Wanna know my secret?I'm a yes man.The word ""yes""",0
has changed my life. Here.No,0
- Yeah,0
and shatter the window?- No,0
- Then ask me if I want to.- Do you wanna throw that rock at the bank?,0
- Yes.Oh,0
- Go to the seminar,0
- Stop.Carl,0
You won't regret it.- Whoo!,0
- Hey,0
- No.Sorry.- Hello?,0
- Stephanie?- Carl.,0
- Yeah,0
I was missing you,0
- Oh,0
just snap it off already.- Pete? Hey. Where you been?,0
- You not been getting my calls?What? God,0
Oh,0
- Yeah. There it is.You know what,0
You missed my engagement party tonight.Oh,0
That was tonight?- Mm-hm.,0
- I'm so sorry,0
I promise. I swear.You pick the day. Any day you want,0
we'll go out,0
- I don't know.This wasn't drinks at a bar,0
This was my engagement party.- You only get married once.,0
- I certainly wouldn't do it again.I know,0
I know that Stephanie left you.And I know that you have issues because,0
of it,0
"You always make excuses.""I don't wanna commit.",0
"I don't wanna be tied down. ""I mean",0
my fiancee's last name?Yeah. Fisher. Fishman.- Wait. Fishwall?,0
- Fishwall?- You think her name's Lucy Fishwall?,0
- No? That's wrong?- It's Burns.,0
- Burns?It's Lucy Burns,0
She doesn't like my best friend.I keep trying to think of reasons,0
why she should,0
- Pete,0
You do whatever you want.I'm telling you,0
you're gonna end up lonely.A lonely guy,0
or does it look like he's kind of dead?Nope. No more than usual.I don't know. I'm kind of leaning towards,0
thinking he might actually be dead.I guess I never saw him a lot,0
so it's hard for me to tell the difference.Yeah,0
- Nope.Wasn't a good anything.- Are there more beers in the fridge?,0
- Sorry,0
We are about to begin.Please,0
- Hey,0
- Did you wanna...Sure,0
I knew you'd come.I saw it in your eyes,0
You're gonna love this. Terrence is a genius.He's gonna blow your mind all over,0
the room. He's like a mind grenade.- I'm not sure I want that.,0
- Yeah,0
and I mean to everything.It's starting.Life.We are all living it. Or are we?Ooh,0
but where is consciousness generated from?From the external.And how do we control the external?,0
With one word.And what is that word?- Yes!,0
- Jeez.Yes.Yes.- Yes,0
- Yes. Yes!- Yes!,0
"- Whoo!The word is ""yes. ""Yes",0
- Yes.Say it a million more times.And the word you will have said,0
"2 million times is:Yes!Yes.I want you to invite yes into your lives......because it will RSVP ""yes. ""When you say yes to things",0
you embrace the possible.You gobble up all of life's energies,0
and you excrete the waste.Before we begin today,0
I'd like to welcome our new members.- Who among you is new?,0
- He is. This guy right here. He's new.- Over here.,0
- Please don't. Jesus.- Come on up,0
- That's okay,0
Now get on up here.- No,0
- I'm sorry? What was that you said?- I said,0
- Before that.Thank you.Back up just a little bit more.- No.,0
- No man. No man.No man. No man. No man.No man. No man.Okay.If the molehill won't come to Terrence......Terrence will come to the molehill.What's your name?Carl.Let me guess,0
into coming here today,0
- Yes!And you're not sure about this,0
No man. No man.You're dead,0
and therefore you're not living.You make up excuses,0
to the people around you......and to yourself.You're stuck in the same dead-end job.,0
You have been for years.You don't have a girlfriend. You don't,0
have anything close to a girlfriend.And you lost the love of your life......because she couldn't be with someone,0
who didn't live theirs.And on most nights you're so bored,0
and filled with ennui......you can't even summon the enthusiasm,0
necessary to masturbate.Am I right,0
- Yes.- Do you want to make a covenant?,0
"- Ugh...The word is ""yes",0
- Go,0
because it doesn't really matter?Yeah,0
I can't hear myself think.It's just a little further,0
Just right up the hill there.Go ahead.And what did you say?Oh,0
over here. Okay. Yeah.What? Hello? Hello?Oh,0
- Well,0
to give me a ride. Most people just say no.Course,0
lately outside of that hotel.No problem. Have a good night.Can I borrow a couple bucks?Okay.I've come this far.Yes,0
Can I have it all?Sure. It's all yours.God bless you,0
all your money away to a homeless guy?Yes,0
burn out your phone......so you can't call AAA,0
when you run out of gas?That sounds like a fucking great idea!Why don't you take a stroll,0
through the hills......and get killed by the Manson family?,0
Don't mind if I do.Come on,0
container of gas up a giant hill to your car?Oh,0
- Maybe.Did you just run out of gas?Maybe.That sucks.,0
That happened to me last week.When you were driving,0
out of your way......to drop off a homeless guy who wore out,0
your battery so you couldn't call AAA?No. I take it,0
that's what happened to you.No. Why would you assume that?He used up your phone?Yeah. Apparently he was the most popular,0
homeless man on the planet.He was staying connected.,0
It was good to see.I'm just glad that I could,0
be a part of it,0
- Oh,0
which is cool.Well,0
be kept alive artificially.- What are you doing?,0
- I'm taking a picture. Smile.- I can't see. I'm blind.,0
- Me too. Isn't it great? Whoo!Yeah,0
- No problem.Hopefully the color will return,0
to your face sometime soon.- I'm more of a four-wheel kind of guy.,0
- Really?I never would've guessed that.,0
You seemed so at ease on two.- Can I have my helmet back now?,0
- I'm still wearing it,0
stick around and make out.- What?,0
- What did you say?Hey,0
"to something good.Never avoid opportunities.They may come in any form. ""- Hello?",0
- Carl,0
than your boss,0
on Saturday staff.Is there any way you could come in?Sure.Nothing I like better than the inside,0
of a bank on a beautiful Saturday.Yeah. Yeah,0
magical about this place.Would I like to increase the size,0
of my penis?Right.Like I need that.- Persian wifefinder.,0
- Hi there. I am Faranoush.Would you be the man for me?I guess so.Excuse me. I'd like to apply,0
for a small-business loan.And what's your business?I bake cakes in the shape,0
of different celebrities' faces.- Oh,0
- No. It's Bono.Oh. Yeah,0
like Mickey Rourke.So,0
on it,0
- Yeah.- Could that,0
- Yeah. I guess.Oh,0
Car. That could be yours.Yeah. Carl's pretty short already,0
we need around here.- Yeah.,0
- And you know what I did?What?That Demko thing really chapped my ass.,0
"I marched upstairs and I told the big guns:""Carl gets promoted in lieu of Demko",0
or along with Demko......whichever,0
walking option,0
- Good move.And they said if you started to show,0
some initiative,0
- Yeah?- Yeah,0
- Yeah.- You're making up nicknames.,0
- Okay.Know what?,0
I called Demko this morning......to ask if he could work,0
and know what he said?- No.,0
- How did you know that?He's not here.- Yeah,0
- Yeah.And that's why I'm gonna,0
give the job to you.Norm,0
Oh,0
Bump up your salary to 65.- Thousand?,0
- Of course,0
up a notch,0
Pretty cool,0
than a dick,0
I mean,0
- I'm telling you,0
You have to say yes to everything?Yeah,0
I wasn't open to stuff,0
It's like the era of yes has begun.All right. Look,0
I'm all for it.Excuse me.,0
Could we get another round of drinks?And actually,0
will be taking care of it.- Well,0
- Yes. Yes,0
but I cannot miss this.Hey,0
into this yes thing.Argh!Okay,0
- Excuse me. Could I...Absolutely.I don't think that's what she was,0
asking for,0
think you're doing,0
It was a little misunderstanding,0
"You gotta say yes to life.I made a sacred ""conevant. ""That sounded naughty.- I think you and I need to step outside.",0
- No. God,0
to a ball......because she deserves that.Every pretty girl deserves to go to a ball.That is so nice.Oh,0
right in the face,0
- You don't have anybody's.I'm sorry,0
- I know.Hey. Are we gonna fight or what?Yeah,0
We're gonna fight,0
Oh,0
what you can't see?Did you see The Legend of Billy Jack?Because I'm gonna take this foot......and I'm gonna whop you,0
on that side of your face......and there's not a goddamn thing,0
you can do about it.Just don't break my teeth,0
off on the curb,0
Give them a show.What?First,0
to establish the ground rules.And the ground rules are,0
there are no ground rules.Idiot. I'm the wrong guy.Well,0
being the right guy.That's why you got punched out......because you got the wrong attitude,0
right out of the gate.I'm over here,0
Didn't get there in time.Okay,0
We've been drinking.- He's really been drinking.,0
- Seriously,0
- You asshole.- We really did.,0
- Yeah. We did,0
- Hi,0
put up some shelves.Oh,0
- That was wonderful,0
- Oh,0
- Don't worry about it.I am gonna have to repay you somehow.Oh,0
is good enough for me.You are so handsome.How come I never see you,0
with a girl over there?Well,0
but I am dating.- Would you like a release?,0
- I'm sorry?You know,0
- Oh,0
and I will take care of everything.I don't know what to say here.,0
I'm stumped. I'm baffled.I don't know if I'm gonna be able,0
to say yes to this one,0
- But thanks for the offer and the image.And I've got this thing I gotta do,0
so I'll be seeing you.In my nightmares.Oh,0
That's ridiculous.Get out of there.,0
If I wanna say no,0
"Harry Potter character. ""You got it",0
to try it. Yeah.So I can expect delivery anytime,0
between 8 a. m. and 5:30?Hello. Wondering if you had a moment......to discuss the Church of Jesus Christ.,0
- Yeah,0
- Buttercup Girls.Yeah. All right.Hey. It's really working. Ah!It's beautiful,0
I do wanna learn how to fly.Yes,0
organic-fertilizer distribution business.Next.- Wanna see a... Oh,0
- You know what? I'd love to.Way to stick in there.There you go.Hey. I came.Great.Yeah.Rolling Rock,0
- In the netherworld.There was a band.Oh,0
and other sea vegetables.Yeah.And that band was rad.Hello,0
Rodrigo,0
- You're kidding me.I should have been the one,0
To break up with youYou said,0
You said,0
You said,0
You said,0
He's a computer hacker.He helped me erase your MySpace page.And your band's MySpace page.,0
And your Facebook page.Happy networking,0
It won't happen againHappened once,0
Maybe four times,0
But it won't happen a seventh timeNo,0
It won't happen againYou can call me at 10:59But don't call me at 11,0
'Cause that's my rule nowCan I get a water?Hey. Out-of-gas make-out guy.Did we make out? Oh,0
Now I remember.- What are you doing here?,0
- I know. Is this crazy or what?- It's so crazy.,0
- Yeah.- Are you stalking me?,0
- No. I would never do that.By the way,0
furniture looks great from the yard.- Hey,0
- Thanks.Yeah. Strong lyrics.,0
You just make that stuff up?- It comes from personal experience.,0
- Cool.You want a drink?Oh,0
- Oh,0
and practice photography.Oh,0
that's getting very popular now.It's in Griffith Park,0
and we do a loop. It's about five miles.It's at 6 a. m.Wow. I haven't been up at 6 a. m.,0
In,0
- Yeah,0
what else?Whatever I want.I volunteer at a shelter. I paint a little bit.Yeah,0
I've done some charity work.And some nude modeling,0
if I ever need to...So anyway,0
I'd be happy to go out with you.I didn't ask you out.Could have fooled me,0
with that modeling comment.You said that.Well,0
it made me very uncomfortable.Hey,0
come to my class tomorrow?Why don't you stop smothering me?,0
Seriously. It's way too much too soon.Yeah,0
- Allison.Yeah,0
Gonna pull an all-nighter. You down?Yeah.Okay,0
Cameras loaded?- Allison?,0
- Yeah?Do we need to use a flash?Not when the sun's up,0
You take it to the limit,0
Let's do it again.Carl,0
describe tonight,0
but I feel comfortable.Look how close I'm getting.,0
Hey,0
He's a nurse. I was making fun of him.We hit a couple raves last night.,0
It was totally off the hook.- You seem a little hyper.,0
- Had a couple Red Bulls.Ever had Red Bull? I never had Red Bull.,0
Had Red Bull last night. I like Red Bull.I got a new necklace. Glows in the dark.Can't really see it right now,0
unless you do this.That's really something. Doesn't Red Bull,0
make you crash pretty hard?No,0
we should get a Red Bull.You and I could get a Red Bull.,0
We could share.- Okay,0
- Red Bull.- That sounds...,0
- Red Bull.- I think I'd...,0
- Red Bull.- I'd really...,0
- Red Bull.Red Bull.Okay. A lot of energy. I like it.,0
Everybody,0
- Hey,0
You're kind of unpredictable.Kind of mysterious.You know,0
I like to mix it up.If that doesn't jive with you,0
we should end this.I love that.I don't know how people go through life,0
with the same boring routine.- Just shoot me.,0
- I know. Right in the face.Seriously,0
astounded at how content he was......just living his life,0
in this closed-off little box.I know. It's so frustrating. I just,0
wanna grab these people and shake them.Say,0
"on a little thing called life. ""- That's so true.",0
- Yeah.So,0
to closed-off-little-box boy?It just didn't work out. It's a long story.Yeah? Same story,0
you were singing about last night?Might be.Closed-off-little-box boy,0
Probe no further.Okay,0
we lived together.I thought he was it,0
or whatever.And then surprise,0
out of nowhere for no reason.Gone,0
about the length of the story,0
- Yeah,0
and she doesn't care.She's the complete opposite of me.Carl,0
please pass the Cholula?Sure,0
You should check it out.- I'm engaged.,0
- Oh,0
in front of Faranoush?It's okay,0
She knows it's not exclusive.- Besides,0
- I can hear you.Sorry,0
if I hadn't said yes to the homeless guy.You wouldn't be on a date,0
with a strange woman.- No offense,0
- None taken.I didn't realize,0
I was dealing with a no man.No,0
Throw this away for me,0
- Hey.- Lucy. Faranoush,0
- Hello.So my friends are being really lame......and nobody's offered,0
to throw me a bridal shower.Hey,0
a bridal shower?Yeah. Sure.Why not? That'd be great.,0
Yeah,0
- Yeah.- Really?,0
- Yeah.Well,0
- That is sweet,0
for me and Allison.Costumes for what?Expelliarmus! Just kidding.That's okay. I blocked it,0
and deflected it back.Oh. Kaching!,0
Wow. Cool costume,0
was for toddlers.This is Allison,0
and her wand made from a sequoia.- Hi.,0
- You must be Norman.Yes,0
Thanks for coming. Come in.Yeah,0
you know......chips,0
- Pace yourselves.It's gonna be a crazy night.- Get in there,0
- Come on.- Good dip,0
- Mm.Got tons of it at Costco. You see,0
an exclusive membership card.And with that card,0
to the whole place.I can buy large quantities of anything,0
at discount prices.Can't anyone get one of those cards?No,0
But I can talk to someone,0
- That would be great.Feels strange to be going home,0
"doesn't it?""I'm not going home",0
Who wants to watch Chamber of Secrets?- Well,0
- So nice to meet you.Good to meet you,0
And hey.That's right. Come in. I'll go in.Keep your hand there like in a shake.,0
The other hand goes around for a hug.- Yeah. Tap it.,0
- Thanks for walking me through that.- That's all right.,0
- Bye.Okay,0
all aboard the Hogwarts Express.Next stop,0
- Yeah,0
- Why? You scared?Hurry. Somebody's coming.,0
And I think I see something. Hurry.- This is crazy.,0
 I know it's you.Oh. Hey,0
 I did. You never answer,0
 what are you doing?Oh,0
 right?,0
 that sounds great.,0
 man.I was just about to call you.,0
