gizmondo gadget hits the shelves the gizmondo combined media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
portable playstation ready to go sony s playstation portable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how to make a gigapixel picture the largest digital panorami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
learning to love broadband we are reaching the point where b,,of,our d,aily,l,ives  even uk,speeds,are suffi,cient.,it m,ay not,be,the brav,e new wor,ld of,s,tr,eami,ng f,ull-s,creen,v,ide,o and,su,pe,rf,ast,file down,load,s,bu,t it,will,do for now. and,it i,s certain,ly better than slow access,or no access. just as,k a
tv s future down the phone line internet tv has been talked,,ing,the w,eb a,s,a  channel .,it is,not just,niches,but,about,ex,ploiting,content n,ot us,ua,ll,y vi,ewed,he,said,.,we,are f,oc,us,se,d o,n the owne,rs o,f v,id,eo c,ontent,who have right,s to,digitally,distribute content  and w,ho often see unencumbe,red
concerns over windows atms cash machine networks could soon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
first look at playstation 3 chip some details of the chip in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halo 2 sells five million copies microsoft is celebrating bu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consumers  snub portable video  consumers want music rather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeze on anti-spam campaign a campaign by lycos europe to t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
china net cafe culture crackdown chinese authorities closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speech takes on search engines a scottish firm is looking to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
looks and music to drive mobiles mobile phones are still enj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
web photo storage market hots up an increasing number of fir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new consoles promise big problems making games for future co,,for,large,r ar,t,teams. anothe,r briti,sh company,aiming,to,reduce,th,e workloa,d of arti,sts i,s,ma,nche,ster,star,t-up,ge,nem,ation.,i,ts,l,ate,st tool  g,encr,owd,,enab,les ar,tists to create,uniq,ue  photo,#NAME?,games involving lots,of
us woman sues over cartridges a us woman is suing hewlett pa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text messages aid disaster recovery text messaging technolog,,to,find,some,on,e to pass it,along t,o  and say,look,this,is wh,at,we re try,ing to do,and,ev,er,ythi,ng l,ike t,hat,s,ays,mr ra,mp,er,sa,d.,so the bi,g pr,obl,em,rig,ht now,is the same pr,oblem,we re tr,ying to solve - human comm,unication.  he is opti,mis
us peer-to-peer pirates convicted the first convictions for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warnings about junk mail deluge the amount of spam circulati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bt boosts its broadband packages british telecom has said it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft takes on desktop search microsoft has entered the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mac mini heralds mini revolution the mac mini was launched a,,ent,these,pcs,t,end to be eit,her for,the home-,build e,nthu,siast,or,expensive,pre-buil,t opt,io,ns,bas,ed a,round,micr,os,oft,s med,ia,c,en,ter,software.,but,fo,r,the,value,the mac mini of,fers,bringing,some of the best software,packages within reach,of
lasers help bridge network gaps an indian telecommunications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
broadband challenges tv viewing the number of europeans with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk net users leading tv downloads british tv viewers lead th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
podcasts mark rise of diy radio an apple ipod or other digit,,ali,a  fin,land,,brazil  even,malaysi,a. one cou,ple bro,adca,sts th,eir,s  the da,wn and dr,ew sh,ow,,from,wis,consi,n in,th,e u,s  som,et,im,es,ev,en from th,e co,mfo,rt,of,their,own bed. topics,rang,e from th,e comfort of their bed  to,the latest films or m,usi
dozens held over id fraud site twenty-eight people  includin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
broadband steams ahead in the us more and more americans are,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nintendo adds media playing to ds nintendo is releasing an a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
britons fed up with net service a survey conducted by pc pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft gets the blogging bug software giant microsoft is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digital guru floats sub-$100 pc nicholas negroponte  chairma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bt offers free net phone calls bt is offering customers free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pc ownership to  double by 2010  the number of personal comp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
santy worm makes unwelcome visit thousands of website bullet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ink helps drive democracy in asia the kyrgyz republic  a sma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cable offers video-on-demand cable firms ntl and telewest ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how to smash a home computer an executive who froze his brok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robots learn  robotiquette  rules robots are learning lesson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
napster offers rented music to go music downloading  for tho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
broadband fuels online change fast web access is encouraging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
china  ripe  for media explosion asia is set to drive global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
court mulls file-sharing future judges at the us supreme cou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
broadband fuels online expression fast web access is encoura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gadgets galore on show at fair the 2005 consumer electronics,,red,on sd,car,ds,which have,come do,wn in pric,e in re,cent,month,s.,a 512mb c,ard will,store,a,bo,ut 3,0 mi,nutes,of v,id,eo,and 42,0,st,il,ls.,the devic,e is,so,t,iny,it can,be controlled,with,one thumb,. because images and video,are stored on sd memo,ry
rivals of the £400 apple... the mac mini is the cheapest ap,,n,ick ro,ss,de,puty labs edi,tor at,pc pro  sa,id the,impo,rtant,poi,nt about,buying a,cheap,a,nd,che,erfu,l pc,is th,e,upg,rade p,at,h.,i,nte,rest has s,witc,hed,f,rom,proces,sor power to gr,aphic,s and sou,nd cards as that s what ma,kes the difference in,gam
search wars hit desktop pcs another front in the on-going ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
putting a face to  big brother  literally putting a face on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
more power to the people says hp the digital revolution is f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rings of steel combat net attacks gambling is hugely popular,,th,ey sho,uldn,t,be  monitori,ng tech,sites   h,e said.,som,etimes,th,ough  he,said  spo,tting,t,he,nex,t vi,ctim,was e,as,y.,you c,an,s,ee,th,em going a,lpha,bet,ic,ally,throu,gh the list wit,h the,gambling,sites  trying one after a,nother   said mr seagr,ave
gritty return for prince of persia still basking in the rela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeze on anti-spam campaign a campaign by lycos europe to t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft plans  safer id  system microsoft is planning to m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the pirates with no profit motive two men who were part of a,,go,home,from,w,ork in the ev,enings,and get in,volved,in t,his wa,rez,culture.,warez g,roups,,wh,ich,bega,n to,surfa,ce,in,the e,ar,ly,1,990,s  operate,acc,ord,in,g to,a str,ict code of hon,our.,for exam,ple if one group cracked t,he software first its,riv
yahoo moves into desktop search internet giant yahoo has lau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peer-to-peer nets  here to stay  peer-to-peer (p2p) networks,,it,and w,e wi,ll,discover new,models,together,agree,d mr,morge,nst,ern. but,many net,users,w,il,l co,ntin,ue to,igno,re,th,e ente,rt,ai,nm,ent,industry,s po,ten,ti,al c,ontrol,ling grip on co,ntent,and p2p,technology by continuing t,o use it for their own,cr
sun offers processing by the hour sun microsystems has launc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no re-draft  for eu patent law a proposed european law on so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anti-spam laws bite spammer hard the net s self-declared spa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu software patent law delayed controversial new eu rules fo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us duo in first spam conviction a brother and sister in the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spam e-mails tempt net shoppers computer users across the wo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hotspot users gain free net calls people using wireless net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
virus poses as christmas e-mail security firms are warning a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text message record smashed uk mobile owners continue to bre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fast moving phone viruses appear security firms are warning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doors open at biggest gadget fair thousands of technology lo,,are,. this,mea,ns,more storage,techno,logies wil,l be in,dem,and  s,uch,as exter,nal hard,drive,s,a,nd f,lash,memo,ry li,ke,sd,cards,.,ce,s,run,s official,ly f,rom,6,to,09-Jan,ary.,,,,,
uk broadband gets speed injection broadband s rapid rise con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
more women turn to net security older people and women are i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
software watching while you work software that can not only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft sets sights on spyware windows users could soon be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gangsters dominate gaming chart video games on consoles and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mobile gaming takes off in india gaming on the move is one o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
format wars could  confuse users  technology firms sony  phi,,gan,ised c,rime,g,angs that are,respon,sible for,most pi,racy,. inst,ead,said mr,doctorow,drm,s,ys,tems,wer,e int,ended,t,o c,ontrol,t,he,g,rou,p that ele,ctro,nic,s,firm,s have,most hold over,#NAME?,nsumers.,the studios and labels pe,rceive an opportunity,to
france starts digital terrestrial france has become the last,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finding new homes for old phones re-using old mobile phones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
online commons to spark debate online communities set up by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk gets official virus alert site a rapid alerting service t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sun offers processing by the hour sun microsystems has launc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nintendo handheld given euro date nintendo s new handheld co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slow start to speedy net services faster broadband in the uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
web logs aid disaster recovery some of the most vivid descri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mobiles rack up 20 years of use mobile phones in the uk are,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mobiles  not media players yet  mobiles are not yet ready to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telewest to challenge sky plus cable firm telewest is to off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
british library gets wireless net visitors to the british li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warning over tsunami aid website net users are being told to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intel unveils laser breakthrough intel has unveiled research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual gaming to  take off  games aimed at  casual players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
web radio takes spanish rap global spin the radio dial in th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
junk e-mails on relentless rise spam traffic is up by 40%  p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gates opens biggest gadget fair bill gates has opened the co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seamen sail into biometric future the luxury cruise liner cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video phone help for deaf people deaf people who prefer to c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concern over rfid tags consumers are very concerned about th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft releases bumper patches microsoft has warned pc us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gadget show heralds mp3 season partners of those who love th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
format wars could  confuse users  technology firms sony  phi,,gan,ised c,rime,g,angs that are,respon,sible for,most pi,racy,. inst,ead,said mr,doctorow,drm,s,ys,tems,wer,e int,ended,t,o c,ontrol,t,he,g,rou,p that ele,ctro,nic,s,firm,s have,most hold over,#NAME?,nsumers.,the studios and labels pe,rceive an opportunity,to
xbox 2 may be unveiled in summer details of the next generat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple makes blogs reveal sources apple has won its legal fig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domain system scam fear a system to make it easier to create,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mobiles rack up 20 years of use mobile phones in the uk are,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bush website blocked outside us surfers outside the us have,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hotspot users gain free net calls people using wireless net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windows worm travels with tetris users are being warned abou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smart search lets art fans browse if you don t know art but,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
internet boom for gift shopping cyberspace is becoming a ver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ask jeeves joins web log market ask jeeves has bought the bl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what high-definition will do to dvds first it was the humble,,d,but th,at w,as,make-up.  in,the hd,version o,f episo,de i,all,the,se make-u,p lines s,howed,u,p,ex,plai,ns mr,dean,.,the,resto,ra,ti,on,of,the older,sta,r w,ar,s ep,isodes,revealed some,inter,esting it,ems too.   there are scans,of a corridor [on the,de
satellite mapping aids darfur relief aid workers trying to h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
playstation 3 processor unveiled the cell processor  which w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolling out next generation s net the body that oversees how,,wi,th the,net,t,hat may never,disapp,ear comple,tely is,sec,urity.,to,dr carpe,nter  the,solu,ti,on,com,es o,ut of,tech,no,log,ical a,nd,h,um,an,behaviour.,peo,ple,h,ave,to be,educated about,sens,ible beha,viour  he says  such as ig,noring e-mails that cl,aim
bbc leads interactive bafta wins the bbc and the national th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft seeking spyware trojan microsoft is investigating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bt program to beat dialler scams bt is introducing two initi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbc web search aids odd queries the bbc s online search engi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple unveils low-cost  mac mini  apple has unveiled a new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
man auctions ad space on forehead a 20-year-old us man is se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rich pickings for hi-tech thieves viruses  trojans and other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call for action on internet scam phone companies are not doi,,wo,uld be,to,kn,owingly assis,t the f,raudsters,to comm,it t,he fra,ud.,no custo,mers have,yet,be,en,tak,en t,o cou,rt fo,r,ref,using,to,p,ay,th,ese bills.,di,sab,le,or,remove,your modem and,use,broadband,instead - then you have n,othing to worry about.,or
gadget market  to grow in 2005  the explosion in consumer te,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commodore finds new lease of life the once-famous commodore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toxic web links help virus spread virus writers have begun u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us top of supercomputing charts the us has pushed japan off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
savvy searchers fail to spot ads internet search engine user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gadget growth fuels eco concerns technology firms and gadget,,re,is a f,ocus,o,n developing,efficie,nt and imp,roved c,ircu,its in,th,e devices,themselv,es  t,he,t,echn,olog,ies i,nside,r,ech,argers,a,re,s,til,l outdated,and,so,e,at u,p more,energy than is,need,ed to pow,er a gadget. on 1 january,new efficiency standa,rds
blinx sequel purrs nicely the original blinx was intended to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text message record smashed again uk mobile owners continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new browser wins over net surfers the proportion of surfers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remote control rifle range debuts soon you could go hunting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ask jeeves joins web log market ask jeeves has bought the bl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have hackers recruited your pc  more than one million comput,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sony psp tipped as a  must-have  sony s playstation portable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
musicians  upbeat  about the net musicians are embracing the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big war games battle it out the arrival of new titles in the,,lig,ently,and,ha,ving tidier p,resenta,tion. it e,ngages,you,very w,ell,and also,looks wo,nderf,ul,,maki,ng t,he mo,st of,t,he,lush t,ro,pi,ca,l s,ettings th,at a,re,re,mini,scent,of the glorious,far,cry  alth,ough we had to ramp up the,settings on a high-sp,ec
bond game fails to shake or stir for gaming fans  the word g,,ed,that,will,b,e rectified w,hen the,character,inevit,ably,makes,hi,s return.,goldene,ye: r,og,ue,age,nt i,s out,now,,,,,,,,,,,,,,,,,,,
mobile multimedia slow to catch on there is no doubt that mo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu software patent law faces axe the european parliament has,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
millions to miss out on the net by 2025  40% of the uk s pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
more movies head to sony s psp movies open water and saw are,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
viewers to be able to shape tv imagine editing titanic down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bad e-mail habits sustains spam the  bad behaviour  of e-mai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be careful how you code a new european directive could put s,,of,my ar,ticl,es,contained a,substan,tial chunk,of the,poe,m then,i,could def,end mysel,f in,co,ur,t by,cla,iming,that,i,ha,d simp,ly,m,ad,e i,t up and i,t wa,s c,oi,ncid,ence.,the same does n,ot ho,ld for a,patent. if i sit down this,afternoon and write a,br
media gadgets get moving pocket-sized devices that let peopl,,tab,le med,ia m,ar,ket to distri,bute th,eir work.,ces  wh,ich,runs f,rom,6 to 9 j,anuary  s,howca,se,s,more,tha,n 50,000 n,ew,ga,dgets,th,at,w,ill,be hittin,g th,e s,he,lves,in 20,5,,,,,
net fingerprints combat attacks eighty large net service fir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gamers could drive high-definition tv  films  and games have,,asi,ng con,verg,en,ce between th,e film,and gaming,indust,ry.,but it,ma,y not be,until the,gene,ra,ti,on a,fter,the,next,ga,mes,conso,le,s,wh,ere,the two i,ndus,tri,es,rea,lly co,llide. at that,point,says dr,tuffy  games could become,more or less interact,ive
when technology gets personal in 2020  whipping out your mob,,ybo,rgian,. hi,s,main concern,is  pri,vacy .  we,are lo,okin,g at e,lec,tronics w,hich are,reall,y,in,dee,p co,ntact,with,y,our,body,an,d,a,lot,of that i,nfor,mat,io,n yo,u real,ly don t want e,very,passer-by,to know.  so we have to m,ake sure we build secu,rit
microsoft debuts security tools microsoft is releasing tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spam e-mails tempt net shoppers computer users across the wo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
broadband set to revolutionise tv bt is starting its push in,,pho,ne cal,ls a,nd,more choice,of tv p,rogrammes.,home c,hoic,e alre,ady,offers 1,0 000 hou,rs of,s,ho,ws a,nd c,hanne,ls  d,el,ive,red ov,er,b,ro,adb,and to hom,es i,n l,on,don.,with,a broadband net,subs,cription,you can also get your tv,and phone service. thr,oug
can yahoo dominate next decade  yahoo has reached the grand,,wil,l move,inc,re,asing towards,movies,and telev,ision a,s mo,re and,mo,re people,get broa,dband,a,cc,ess.,it,will,spre,ad,it,s port,al,w,in,gs,to expand,into,ri,ch,med,ia   h,e predicts.,,,,,
digital guru floats sub-$100 pc nicholas negroponte  chairma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commodore finds new lease of life the once-famous commodore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-mobile bets on  pocket office  t-mobile has launched its l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple laptop is  greatest gadget  the apple powerbook 100 ha,,nd,was in,use,f,or centuries.,for it,s time  a,techno,logi,cal ma,rve,l!  sony,net minid,isc!,it,p,aved,the,way,for m,or,e m,p3 pla,ye,r,to,ex,plode onto,the,ma,rk,et.,i alwa,ys used my netm,d  an,d could n,ot go anywhere without it.,a laptop computer is,no
security scares spark browser fix microsoft is working on a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how to make a greener computer the hi-tech industry is start,,go,digita,l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moving mobile improves golf swing a mobile phone that recogn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attack prompts bush site block the official re-election site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gadget market  to grow in 2005  the explosion in consumer te,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reboot ordered for eu patent law a european parliament commi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ultimate game  award for doom 3 sci-fi shooter doom 3 has bl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple ipod family expands market apple has expanded its ipod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
britons fed up with net service a survey conducted by pc pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
