worldcom boss  left books alone  former worldcom boss bernie ebbers  who is accused of overseeing an $11bn (£5,,,,,,,,,,,,,, worldcom s problems mounted  however  as competition increased and the telecoms boom petered out, when the firm finally collapsed  shareholders lost about $180bn and 20 000 workers lost their jobs, mr ebbers  trial is expected to last two months and if found guilty the former ceo faces a substantial jail sentence, he has firmly declared his innocence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economy  strong  in election year uk businesses are set to prosper during the next few months - but this could trigger more interest rate rises  according to a report,,,,,,,,,,,,,,0 in january from 108,0 in october last year,  the uk is looking strong going into the general election  but businesses need to prepare themselves for a jolt ahead as the bank of england reacts to growth and inflationary pressures   said peter hemington  partner at bdo stoy hayward,  growth will probably slow by the end of 2005 and it is likely that we will see higher interest rates or a sharp drop in demand for products and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
australia rates at four year high australia is raising its benchmark interest rate to its highest level in four years despite signs of a slowdown in the country s economy,,,,,,,,,,,,,,  at 2,6%  inflation remains within the bank s 2-3% target range, however  exports declined in the second half of 2004  fuelling a rise in the country s current account deficit - the difference in the value of imports compared to exports - to a record australian dollar 29,4bn, the australian government said the economy remained strong with unemployment at a near 30 year low,  the economy has been strong and it is properly moderating but it doesn t look to me like it s slowing in any unreasonable way   said treasurer peter costello, stock markets had factored in the likelihood of a rate rise but analysts still expressed concern about the strength of the economy,  that 1,5% annual growth rate is the lowest we have seen since the post-election slump we saw back in 2000-1   said michael blythe  chief economist at the commonwealth bank of australia,  this suggests the economy really did slow very sharply in the second half of 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese exports rise 25% in 2004 exports from china leapt during 2004 over the previous year as the country continued to show breakneck growth,,,,,,,,,,,,,, china s exporting success has made the trade deficit of the united states soar even further and made trade with china a sensitive political issue in washington, the peg keeping the yuan around 8,30 to the dollar is often blamed by us lawmakers for job losses at home, a us report issued on tuesday on behalf of a congressionally-mandated panel said almost 1,5 million posts disappeared between 1989 and 2003, the pace accelerated in the final three years of the period  said the report for the us-china economic and security review commission  moving out of labour-intensive industries and into more hi-tech sectors, the us s overall trade deficit with china was $124bn in 2003  and is expected to rise to about $150bn for 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arsenal  may seek full share listing  arsenal vice-chairman david dein has said the club may consider seeking a full listing for its shares on the london stock exchange,,,,,,,,,,,,,, but we must constantly improve if we want to remain as the world s leading league competition,  we must monitor the quality of the product and ensure attendances do not decline  and we must balance that with the quantity of exposure on tv too,  i think we have practically reached saturation point,,, sometimes i think less is more,   the club is funding its move to ashburton grove through a number of sources  including debt from banks  from money it already has and will receive in coming years from sponsors  and from the sale of surplus property  including its highbury stadium, it is also looking to create new revenue streams from overseas markets  including asia,  we have two executives travelling round japan and china at the moment building relationships with organisations and clubs  and we know our supporters clubs are growing there too  as they are around the world,  we have got a very good product  so it is very important we go and look at these markets  and make sure we are on the case,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deutsche boerse set to  woo  lse bosses of deutsche boerse and the london stock exchange are to meet amid talk that a takeover bid for the lse will be raised to £1,,,,,,,,,,,,,, in a statement on thursday  euronext said any offer was likely to be solely in cash  but added that:  there can be no assurances at this stage that any offer will be made,  a deal with either bidder would create the biggest stock market operator in europe and the second biggest in the world after the new york stock exchange,  according to the ft  in its latest meeting deutsche boerse will adopt a charm offensive to woo the london exchange, the newspaper said the german suitor will offer to manage a combined cash and equities market out of london and let ms furse take the helm, other reports this week said the deutsche boerse might even consider selling its luxembourg-based clearstream unit - the clearing house that processes securities transactions, its ownership of clearstream was seen as the main stumbling block to a london-frankfurt merger, lse shareholders feared a deutsche boerse takeover would force them to use clearstream  making it difficult for them to negotiate for lower transaction fees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the  ticking budget  facing the us the budget proposals laid out by the administration of us president george w bush are highly controversial,,,,,,,,,,,,,, the dollar is already sinking, before too long  credit markets are likely to react  and interest rates will creep upwards, that will be the shock,  interest-sensitive industries will feel pain immediately - sectors such as housing  automobiles  other consumer durables  agriculture  and small business, some will recall the news footage of angry farmers driving their heavy equipment around the us capitol in the late 1970s, there will be no need for constitutional amendments to balance the budget, the public outcry will force congress to act, whether it will act wisely is another matter, how did this happen   by definition  the deficit means too little revenue and too much spending - but this neutral description doesn t adequately capture the current situation, federal revenues are at 1950s levels  while spending remains where it has been in recent decades - much higher, in addition  the united states has two significant military missions, the bush administration s chosen remedy is the least feasible one, reducing domestic spending  or eliminating  waste  fraud and abuse  is toothless because this slice of the budget is too small to solve the problem, indeed  if congress were rash enough to balance the budget in this way  there would hardly be any such spending left, law enforcement  space exploration  environmental clean-up  economic development  the small business administration  housing  veterans  benefits  aid to state and local governments would all but disappear, it s fantasy to think these routine government functions could be slashed, the biggest spending growth areas are defence (including homeland security)  and health care for the elderly and the poor, to some extent  increases in these areas are inevitable, the us population is aging  and the nation does face genuine threats in the world, but serious savings can only be found where the big money is, savings in health care spending that do not come at the expense of health can only be achieved with wholesale reform of the entire system  public and private, brute force budget cuts or spending caps would ill-serve the nation s elderly and indigent,  on the revenue side  the lion s share of revenue lost to tax cuts enacted since 2000 will have to be replaced,  some rearranging could hold many people harmless and focus most of the pain on those with relatively high incomes, finally  blind allegiance to a balanced budget will have to be abandoned, there is no good reason to fixate on it  anyway, moderate deficits and slowly rising federal debt can be sustained indefinitely, borrowing for investments in education and infrastructure that pay off in future years makes sense, the sooner we face that reality  the sooner workable reforms can be pursued, first on the list should be tax reform to raise revenue  simplify the tax code  and restore some fairness eroded by the bush tax cuts, second should be a dispassionate re-evaluation of the huge increase in defence spending over the past three years  much of it unrelated to afghanistan  iraq  or terrorism, third must be the start of a serious debate on large-scale health care reform, one thing is certain - destroying the budget in order to save it is not going to equip the us economy and government for the challenges of this new century,,,,,
french suitor holds lse meeting european stock market euronext has met with the london stock exchange (lse) amid speculation that it may be ready to launch a cash bid,,,,,,,,,,,,,, german politicians are also said to be angry over the market operator s promise to move its headquarters to london if a bid were successful,  meanwhile  lse shareholders fear that deutsche boerse s control over its clearstream unit - the clearing house that processes securities transactions - would create a monopoly situation, this would weaken the position of shareholders when negotiating lower transaction fees for share dealings, lse and euronext do not have control over their clearing and settlement operations  a situation which critics say is more transparent and competitive, the german group s ownership of clearstream has been seen as the main stumbling block to a london-frankfurt merger, commentators believe deutsche boerse  which has now formally asked german authorities to approve its plan to buy the lse  may offer to sell clearstream to gain shareholder approval, euronext  so far  has given little away as to what sweeteners it will offer the lse - europe s biggest equity market - into a deal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card fraudsters  targeting web  new safeguards on credit and debit card payments in shops has led fraudsters to focus on internet and phone payments  an anti-fraud agency has said,,,,,,,,,,,,,, nearly two thirds - 65% - of the 1 000 people interviewed said they had used chip and pin to make payments, of these  83% were happy with the experience  though nearly a quarter said they struggled to remember their pin number, however  only 34% said they had received replacement cards with the necessary  chip  technology from all their card providers, furthermore  16% said that none of their cards had been replaced  while 30% said only some had, uk shoppers spent £5,3bn on plastic cards in 2003  the last full year for which figures are available from the association of payment clearing services (apacs), altogether  card scams on uk-issued cards totalled £402,4m in 2003, card-not-present fraud rose an annual 6% to £116,4m  making it the biggest category even then, within this  internet fraud totalled £43m  apacs  figures show,,,,,,,,,,,,,,,,,,,,,,,,,,,
profits stall at china s lenovo profits at chinese computer firm lenovo have stood still amid slowing demand at home and stiffening competition,,,,,,,,,,,,,, there have been rumours that the deal could be in trouble because us government agencies fear it could offer china opportunities for industrial espionage, the reports of the possibility of an investigation into the risk sent lenovo s shares up 6% in late january,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu-us seeking deal on air dispute the eu and us have agreed to begin talks on ending subsidies given to aircraft makers  eu trade commissioner peter mandelson has announced,,,,,,,,,,,,,, so far  airbus has delivered 40 a300s to ups, airbus overtook boeing as the world s largest manufacturer of commercial airliners in 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consumer spending lifts us growth us economic growth accelerated in the third quarter  helped by strong consumer spending  official figures have shown,,,,,,,,,,,,,,6% in the second  as evidence that his policies are generating solid growth, consumer spending accounts for about two thirds of all economic activity in the us,  the weaker than expected growth figure makes it less likely that the us federal reserve will raise interest rates next month  economists said,  the economy regained some traction in the third quarter  but the growth is not robust   ag edwards  thayer,  i think that means the fed can take its time raising rates, we ll probably see one more rate hike before the end of the year,  in an effort to pre-empt rising inflation  the federal reserve has pushed through three quarter-point rate rises since june this year  taking borrowing costs to 1,75%, on the financial markets  the dollar fell slightly against the euro and the yen  while the dow jones index of leading us shares was little changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brewers  profits lose their fizz heineken and carlsberg  two of the world s largest brewers  have reported falling profits after beer sales in western europe fell flat,,,,,,,,,,,,,,  carlsberg  the world s fifth-largest brewer  saw annual pre-tax profits fall to 3,4bn danish kroner (456m euros), its beer sales have been affected by the sluggish european economy and by the banning of smoking in pubs in several european countries, nevertheless  total sales increased 4% to 36bn kroner  thanks to strong sales of carlsberg lager in russia and poland, carlsberg is more optimistic than heineken about 2005  projecting a 15% rise in net profits for the year, however  it also plans to cut 200 jobs in sweden  where sales have been hit by demand for cheap  imported brands,  we remain cautious about the medium-to-long term outlook for revenue growth across western europe for a host of economic  social and structural reasons   investment bank merrill lynch said of carlsberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s&n extends indian beer venture the uk s biggest brewer  scottish and newcastle (s&n)  is to buy 37,,,,,,,,,,,,,,2 billion bottles of beer every year, kingfisher has market share of about 29%, in addition to the equity stake s&n is to invest 2,47bn rupees in united through non-convertible redeemable preference shares, meanwhile  united s budget airline  kingfisher airlines  is to buy 10 a320 aircraft from airbus and has the option to buy 20 more aircraft in a deal worth up to $1,8bn, the airline  the brainchild of mr mallya  expects to start its operations by the end of april, the new airline would break even in the very first year of operation  mr mallya said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retail sales show festive fervour uk retail sales were better than expected in november as christmas shoppers began their seasonal flock to the high street  figures show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swiss cement firm in buying spree swiss cement firm holcim has bid $800m (£429m) to buy two indian cement firms and a holding company in the country,,,,,,,,,,,,,,  the market is not impressed, if they want a substantial chunk  then they should be paying a premium over the market price,  shares in holcim rose by 2,3% on thursday following news of the takeover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steady job growth continues in us the us created fewer jobs than expected in december  but analysts said that the dip in hiring was not enough to derail the world s biggest economy,,,,,,,,,,,,,,  job creation was one of last year s main concerns for the us economy  and proved to be a main topic of debate in the us presidential election, while demand for workers is far from booming  the conditions are set for steady growth,  overall  compared to the previous year it looks great  it just keeps going stronger and stronger and i expect that to be the case  in 2005  said kurt karl  economist at swiss re in new york, meanwhile  economists cautioned against reading too much into data from the federal reserve showing an unexpected $8,7bn drop in consumer debt in november, a fall in consumer spending  which makes up about two-thirds of all us economic activity  could help limit the extent of any future interest rate rises, but economists said there could be a number of reasons for a fall in the borrowing  which include credit cards and personal loans  while noting that such figures can vary on a month-to-month basis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boeing unveils new 777 aircraft us aircraft firm boeing has unveiled its new long-distance 777 plane  as it tries to regain its position as the industry s leading manufacturer,,,,,,,,,,,,,,  for airbus  the future is big - it is pinning its hopes on planes that can carry as many as 840 people between large hub airports, from there  passengers would be ferried to their final destinations by smaller planes, airbus is also keeping its options open and plans to compete in all the main categories of aircraft, it has been producing a rival to boeing s 777 line for more than a year,  airbus is now where boeing was a few years ago  with its product range  said flight international s mr learmount,  both boeing and airbus have been taking orders for their new planes, boeing said it expected to sell about 500 of its 777-200lr planes over the next 20 years, it already has orders from pakistan international airlines and eva of taiwan, these orders should help underpin the company s profits, boeing said earnings during the last three months of 2004 dropped by 84% because of costs relating to stopping production of its smallest airliner  the 717  and the cancellation of a us air force 767 tanker contract, net profit was $186m (£98m; 143m euros) in the quarter  compared with $1,13bn in the same period in 2003,,,,,,,,,,,,,,,,,,,,,,,,,,
cairn energy in indian gas find shares in cairn energy rose 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building giant in asbestos payout australian building products group james hardie has agreed to pay $1,,,,,,,,,,,,,, in 2001  the company set up a fund to compensate asbestos victims  but it later admitted the fund was running short of money, a decision by hardie to move its headquarters to the netherlands - while remaining a listed company in australia - provoked a damaging public outcry, victims groups accusing it of trying to escape its responsibilities by moving abroad  a charge the company denies, australia s securities watchdog is currently investigating hardie s former chief executive and former chief financial officer over allegations of misleading investors and the general public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soaring oil  hits world economy  the soaring cost of oil has hit global economic growth  although world s major economies should weather the storm of price rises  according to the oecd,,,,,,,,,,,,,,0% this year and 1,9% from 2,4% in 2005  the oecd said, overall  the report forecast total growth of 3,6% in 2004 for the 30 member countries of the oecd  slipping to 2,9% next year before recovering to 3,1% in 2006,  there are nonetheless good reasons to believe that despite recent oil price turbulence the world economy will regain momentum in a not-too-distant future   said jean-philippe cotis  the oecd s chief economist, the price of crude is about 50% higher than it was at the start of 2004  but down on the record high of $55,67 set in late october,  a dip in oil prices and improving jobs prospects would improve consumer confidence and spending  the oecd said,  the oil shock is not enormous by historical standards - we have seen worse in the seventies, if the oil price does not rise any further  then we think the shock can be absorbed within the next few quarters   vincent koen  a senior economist with the oecd  told the bbc s world business report,  the recovery that was underway  and has been interrupted a bit by the oil shock this year  would then regain momentum in the course of 2005,  china s booming economy and a  spectacular comeback  in japan - albeit one that has faltered in recent months - would help world economic recovery  the oecd said,  supported by strong balance sheets and high profits  the recovery of business investment should continue in north america and start in earnest in europe   it added, however  the report warned:  it remains to be seen whether continental europe will play a strong supportive role through a marked upswing of final domestic demand,  the oecd highlighted current depressed household expenditure in germany and the eurozone s over-reliance on export-led growth,,,,,,,,,,,,,,,,,,,,
nissan names successor to ghosn nissan has named a lifetime employee to run its operations after carlos ghosn  its highly successful boss  takes charge at renault,,,,,,,,,,,,,,  in his new job as renault chief executive  mr ghosn will devote 40% of his time to renault  40% to nissan and the rest to the group s activities in north america and other key markets,  mr ghosn said mr shiga s appointment would ensure a  seamless  transition in management,  i need a leadership team capable of accelerating the performance and delivery of results that has characterized nissan over the past six years   mr ghosn said,  i have full confidence in toshiyuki shiga and the new leadership team to help me implement the next chapter of nissan s growth,  nissan also announced a number of other management appointments with promotions for several younger executives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yukos seeks court action on sale yukos will return to a us court on wednesday to seek sanctions against baikal finance group  the little-known firm which has bought its main asset,,,,,,,,,,,,,,  speaking on tuesday  president putin said baikal was owned by individual investors who planned to build relationships with other russian energy firms interested in the development of yuganskneftegas, president putin also suggested that china s national petroleum corporation could play a role in the unit s future after signing a commercial agreement with gazprom to work on joint energy projects, yukos has claimed that the sale of its main asset will lead to the collapse of the company, commentators and yukos itself claim the firm is the target of a government campaign to destroy it because of the political ambitions of its founder  mikhail khodorkovsky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quiksilver moves for rossignol shares of skis rossignol  the world s largest ski-maker  have jumped as much as 15% on speculation that it will be bought by us surfwear firm quiksilver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
india s rupee hits five-year high india s rupee has hit a five-year high after standard & poor s (s&p) raised the country s foreign currency rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lacroix label bought by us firm luxury goods group lvmh has sold its loss-making christian lacroix clothing label to a us investment group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
two nigerian banks set to merge nigerian banks united bank of africa and standard trust bank have agreed plans to merge and create the biggest bank in west africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
takeover offer for sunderland fc bob murray  chairman of sunderland fc  has launched a £1,,,,,,,,,,,,,,  the football sector is experiencing significant changes and uncertainty   mr murray said in a statement,  the recent speculation surrounding malcolm glazer and manchester united has shown the unsettling effect possible where there are a number of disparate interests   he added,  i believe that this offer will strengthen the company and remove the potential for that type of uncertainty,   sunderland were relegated from the premiership in 2003 but are currently pushing for promotion, the club managed to reduce its losses last year from £20,6m to £1,2m after selling a host of leading players, however  the club s turnover dropped sharply from £42,5m to £28,5m over the same period  because of a fall in broadcast revenues, bskyb bought its stake in sunderland in 1999 as part of a five year media partnership deal, the deal expired last month,,,,,,,,,,,,,,,,,,,,,,,,,,
